brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
Carhartt,78,"6"" Rugged Flex Waterproof Comp Toe Work Boot",10,149.99,5.0,100,100
Lucchese,67,Rudy,25,294.95,4.0,33,50
Vans,100,Hi Standard OG '20,1,199.95,5.0,100,100
Florsheim,100,Foundry Plain Toe Chukka Boot,39,279.95,5.0,50,100
Eastland 1955 Edition,79,Seneca,34,69.04,5.0,73,80
Nunn Bush,63,Barklay Plain Toe Chukka,37,69.95,4.0,76,88
Stacy Adams,100,Granger Wing Tip Lace Boot,39,109.95,5.0,80,100
Burton,50,Moto Snowboard Boot,2,199.95,5.0,50,100
UGG,100,Biltmore Workboot,37,104.97,5.0,100,100
Danner,75,"Kinetic 6""  GTX",4,169.95,4.0,100,100
Timberland,0,"Heritage EK+ 6"" Waterproof Boot",10,240.0,5.0,0,0
SOREL,0,Mad Brick™ Storm Waterproof,0,183.75,0.0,0,0
SOREL,83,Madson™ II Chukka Waterproof,8,174.95,4.0,100,67
,0,,0,0,0.0,0,0
Alexander Noel,100,Kensington Chelsea Boot,1,265.0,5.0,100,100
Territory Boots,0,Mack Moc Toe Ankle Boot,0,99.99,0.0,0,0
Cole Haan,100,Morris Chelsea,1,140.0,1.0,100,100
Vans,0,Hi-Country & Hell-Bound™,0,329.95,0.0,0,0
Florsheim,0,Flair Plain Toe Chukka Boot,0,139.95,0.0,0,0
Florsheim,0,Flair Plain Toe Chukka Boot,0,139.95,0.0,0,0
Florsheim,100,Flair Moc Toe Lace-Up Boot,8,144.95,4.0,100,100
Bullboxer,0,Millard,0,79.99,0.0,0,0
Nike,0,SFB Field 2 8'',0,169.95,0.0,0,0
Nike,0,SFB Field 2 8'' Realtree,0,199.95,0.0,0,0
To Boot New York,100,Grid,1,350.0,4.0,100,100
Georgia Boot,100,"Wedge 8"" Lace Up",3,148.0,3.0,100,100
Tingley Overshoes,0,"Flite™ Safety Toe 15"" Knee Boot",0,125.0,0.0,0,0
Durango,0,"11"" Rebel Pro Crimson Shaft",0,165.95,0.0,0,0
Durango,0,"12"" Rebel Pro Western",0,165.95,0.0,0,0
Durango,0,"12"" Rebel Pro Western",0,165.95,0.0,0,0
Durango,100,"12"" Rebel Frontier Blunt Toe",1,165.95,5.0,100,100
Durango,100,"12"" Arena Pro Square Toe",2,185.95,5.0,100,100
Durango,100,"12"" Arena Pro Square Toe",2,185.95,5.0,100,100
Durango,100,"12"" Arena Pro Square Toe",2,185.95,5.0,100,100
Old West Boots,0,Colton,0,131.95,0.0,0,0
Old West Boots,100,Caldwell,1,111.95,5.0,100,100
Roper,0,Chillin' Low,0,59.9,0.0,0,0
Frye,100,Greyson Lace-Up,1,397.95,5.0,100,100
Frye,100,Greyson Chelsea,3,377.95,3.0,67,67
Laredo,0,Alfred,0,124.9,0.0,0,0
Laredo,0,Alfred,0,124.9,0.0,0,0
Laredo,100,Pinetop,1,114.9,3.0,100,100
Timberland PRO,75,Power Welt Wellington Steel Toe,31,144.95,4.0,75,100
Laredo,0,Legion,0,149.95,0.0,0,0
Laredo,0,Atlas,0,129.95,0.0,0,0
J&M Collection,0,Cormac Chelsea,0,299.0,0.0,0,0
To Boot New York,100,Richmond,1,360.0,2.0,100,100
To Boot New York,100,Calder,2,395.0,2.0,100,50
Wolverine Heritage,100,1000 Mile Original Chukka,2,288.71,5.0,100,100
CARLOS by Carlos Santana,77,Corazon Chukka Boot,13,138.95,5.0,92,92
Laredo,100,Heath,3,129.95,5.0,100,67
J&M Collection,0,Donahue Chelsea,0,249.0,0.0,0,0
Bed Stu,100,Michelangelo,1,195.0,3.0,100,100
Frye,0,Paul LT Chukka,0,257.95,0.0,0,0
Frye,100,Greyson Lace-Up,1,397.95,5.0,100,100
COACH,0,CitySole Burnished Leather Boot,0,235.99,0.0,0,0
J&M Collection,0,Donahue Cap Boot,0,143.36,0.0,0,0
Roper,67,Gum Sticker,3,70.66,5.0,100,67
Nunn Bush,0,Buchanan Plain Toe Chukka,1,79.95,5.0,0,0
Frye,89,Gordon Lace-Up,20,297.95,3.0,58,85
Frye,75,Essex Chukka,4,297.95,5.0,100,100
Frye,75,Essex Chukka,4,297.95,5.0,100,100
Frye,100,Austin Inside Zip,7,377.95,4.0,86,86
Thomas & Vine,0,Enzzo Wing Tip Boot,0,119.99,0.0,0,0
Thomas & Vine,0,Faust Plain Toe Ankle Boot,0,119.99,0.0,0,0
Thomas & Vine,0,Faust Plain Toe Ankle Boot,0,119.99,0.0,0,0
Dan Post,0,Wind River,0,189.95,0.0,0,0
Penny Luck,0,Carnegies,0,389.0,0.0,0,0
Penny Luck,0,Vanderbilts,0,439.0,0.0,0,0
Penny Luck,0,Vanderbilts,0,439.0,0.0,0,0
Penny Luck,0,Vanderbilts,0,439.0,0.0,0,0
Ross & Snow,0,Stefano Supreen Boot,0,345.0,0.0,0,0
Frye,85,Bowery Lace-Up,26,194.29,4.0,38,85
Frye,75,Bowery Chelsea,5,327.95,4.0,60,100
Twisted X,100,MXC0005,1,124.95,2.0,100,100
Dan Post,50,Carr,2,179.95,5.0,100,100
Allen Edmonds,0,Dalton,0,445.0,0.0,0,0
