brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
Cole Haan,73,Tucker Venetian,536,63.87,5.0,86,91
Dunham,76,Battery Park Slip-On,88,139.95,4.0,79,87
Magnanni,50,Marco,10,350.0,5.0,70,90
Oboz,50,Livingston Low,10,110.0,4.0,60,100
Hey Dude,89,Wally Chambray,10,59.95,4.0,70,89
Tommy Bahama,83,Orion,77,99.99,3.0,42,50
OluKai,69,Moloa,314,129.95,5.0,62,81
Donald Pliner,0,Roderick,0,163.36,0.0,0,0
Florsheim Work,100,Wily,1,104.99,4.0,100,100
Kenneth Cole New York,0,Sullivan Loafer BT,0,159.0,0.0,0,0
Magnanni,0,Alarico,0,187.13,0.0,0,0
Mephisto,100,Valter,4,234.9,5.0,50,100
J&M Collection,0,Cormac Penny,0,299.0,0.0,0,0
Magnanni,0,Heston,0,250.0,0.0,0,0
Florsheim,0,Amelio Moc Toe Venetian Slip-On,9,114.95,5.0,0,0
Johnston & Murphy,100,Holden Penny,1,139.0,5.0,100,100
Nunn Bush,95,Noah Beef Roll Penny Loafer,35,69.95,4.0,68,86
,0,,0,0,0.0,0,0
Sanuk,46,Chiba,226,52.99,5.0,69,93
Naot,48,Eiger,32,179.95,4.0,47,91
Born,76,Allan,60,90.0,4.0,48,80
Hush Puppies,65,Lunar II,153,119.95,5.0,81,86
Clarks,85,Tilden Free,39,69.99,4.0,82,84
Floafers Footwear,67,Country Club Driver,3,59.99,5.0,100,100
Sanuk,50,Vagabond Camo,2,39.03,5.0,100,100
Lacoste,0,Piloter Tassel 0320 1,0,121.5,0.0,0,0
Dockers,100,Bryant,5,59.95,5.0,60,100
Johnston & Murphy,60,Crawford Venetian,5,168.95,4.0,60,100
Johnston & Murphy,75,Hayes Tassel Loafer,9,99.95,5.0,67,100
Florsheim,100,Sportster Moc Toe Penny Driver,16,79.95,5.0,25,67
Mephisto,100,Twain,5,238.9,4.0,60,100
Sperry,75,Gold Cup Exeter Penny Loafer,13,118.42,4.0,85,83
Stacy Adams,0,Cygnet Moc Toe Bit Slip-On,12,69.95,5.0,0,0
Born,77,Nigel Slip-On,29,100.0,4.0,82,84
Hey Dude,50,Wally L Sox,6,59.95,5.0,100,100
Polo Ralph Lauren,100,Redden,20,119.99,5.0,83,83
Polo Ralph Lauren,100,Redden,20,101.84,5.0,83,83
Minnetonka,64,Classic Moc,92,63.95,4.0,64,92
SKECHERS,78,Relaxed Fit Superior - Gains,711,69.95,4.0,65,80
Frye,85,Lewis Venetian,57,177.95,4.0,64,75
Born,84,Sawyer,128,90.0,4.0,81,91
Sanuk,50,Vagabond Chill,2,64.95,4.0,50,100
Deer Stags,60,Herman Tassel Loafer,10,39.99,3.0,80,60
SAS,67,Navigator Non-Slip,44,192.95,4.0,87,86
SKECHERS,94,Melson - Raymon,51,44.95,5.0,71,81
Sanuk,50,Vagabond Camo,2,46.56,5.0,100,100
Nunn Bush,78,Kore Walk Slip-On,17,51.03,4.0,78,75
TOMS,49,Classic Alpargata,105,48.0,5.0,68,89
Sanuk,57,Rounder,53,54.95,5.0,80,94
Crocs,81,Santa Cruz,0,44.99,0.0,80,94
Ariat,79,Cruiser,34,79.95,4.0,74,65
Clarks,100,Bradley Step,1,69.97,3.0,100,100
Sanuk,47,Chiba Chill,17,45.14,5.0,71,94
Born,87,Brompton,57,90.0,4.0,77,87
Sanuk,50,You Got My Back III,14,54.95,5.0,79,93
Sanuk,50,You Got My Back III,14,54.95,5.0,79,93
,0,,0,0,0.0,0,0
Rockport,69,Oak Knoll - Shakespeare Circle,106,109.95,5.0,83,86
Nunn Bush,84,Cam Moc Toe Slip-On,132,59.95,4.0,88,88
Bacco Bucci,0,Hatteras,0,100.99,0.0,0,0
Clarks,38,Lambeth,19,79.95,5.0,67,100
Clarks,0,Forge Free,0,139.95,0.0,0,0
Clarks,100,Step Stroll Edge,1,79.95,2.0,100,100
Hey Dude,78,Wally Stretch,57,59.95,4.0,67,98
ECCO,81,Fusion II Slip-On,59,179.95,4.0,66,91
Dunham,50,Fitsmart Loafer,7,99.95,4.0,57,86
Dockers,67,Agent Bike Toe Slip On,61,59.95,4.0,79,88
Rockport,81,Modern Prep Penny,37,99.95,4.0,56,71
Clarks,100,Wader Twin,4,109.95,5.0,75,100
Johnston & Murphy,100,McGuffey Perfed Slip-On,3,128.95,4.0,67,100
Rockport,95,Style Leader 2 Bike So,37,64.99,4.0,95,90
TOMS,49,Classic Alpargata,105,48.0,5.0,68,89
Deer Stags,77,Brooklyn Slip-On Loafer,101,39.99,4.0,85,88
Sperry,86,Gold Cup Harpswell Driver with ASV,11,164.95,4.0,50,63
Dunham,92,Wade Slip On,44,139.95,4.0,71,83
Dunham,80,Battery Park Service Slip-On,10,129.95,4.0,90,56
Merrell,0,World Legend 2 Moc,0,109.95,0.0,0,0
Florsheim,66,Berkley Penny Loafer,959,114.95,4.0,80,76
Born,71,Gudmund,7,100.0,3.0,57,57
Sperry,100,Topsfield Penny Loafer,2,80.03,4.0,100,100
Samuel Hubbard,85,Frequent Traveler,13,265.0,5.0,69,83
Rockport,77,Oaklawn Park Penny,56,59.95,4.0,73,83
Sperry,100,Gold Cup Harpswell Penny Loafer,2,164.95,3.0,100,100
SKECHERS,94,Melson - Raymon,51,54.99,5.0,71,81
OluKai,100,Nalukai Kala Slip-On,4,109.95,4.0,75,100
Johnston & Murphy,64,Hayes Penny Loafer,11,99.95,4.0,73,82
Born,74,Andes,20,90.0,4.0,50,56
Rockport,81,Modern Prep Penny,37,99.95,4.0,56,71
Sanuk,0,Vagabond Hemp Jute,0,40.57,0.0,0,0
Born,76,Allan,60,90.0,4.0,48,80
Dansko,51,Wynn,37,134.95,4.0,78,94
TOMS,62,Alpargata CloudBound,112,54.95,4.0,63,82
Merrell,100,Rally 2 Moc,1,119.95,5.0,100,100
Rockport,83,Classic Loafer Lite Venetian,94,69.95,4.0,74,76
Sanuk,0,Vagabond Tweed,0,42.83,0.0,0,0
Florsheim,100,Great Lakes Moc Toe Slip-On,273,104.95,4.0,75,79
Florsheim,100,Midtown Moc Toe Slip-On,131,89.95,5.0,53,74
Merrell,0,World Legend 2 Moc,0,109.95,0.0,0,0
Deer Stags,90,Walkmaster Twin Gore Slip-On,10,54.99,4.0,70,100
Dunham,86,Litchfield Slip-On Waterproof,63,134.95,4.0,65,83
Lacoste,0,Concours Nautic 0320 1,0,87.5,0.0,0,0
Nunn Bush,89,Cam Velcro,46,59.95,5.0,90,89
Florsheim,86,Great Lakes Canvas Moc Toe Slip-On,268,84.95,4.0,100,67
Born,84,Sawyer,128,90.0,4.0,81,91
Sanuk,48,Vagabond,592,54.95,5.0,64,93
SWIMS,100,Penny Loafer,8,159.0,4.0,57,88
Clarks,82,Cotrell Easy,11,67.99,5.0,82,100
ECCO,81,Fusion II Slip-On,59,179.95,4.0,66,91
Hey Dude,78,Wally Stretch,57,59.95,4.0,67,98
Dunham,77,Blair Twin Gore Slip On,61,83.42,4.0,88,91
SKECHERS,88,Relaxed Fit Expected - Gomel,713,59.99,5.0,90,92
Deer Stags,62,Drive Slip-On Loafer,43,34.99,4.0,74,79
Dockers,67,Sinclair Kiltey Tassel Loafer,133,59.95,5.0,77,91
Sanuk,67,Donny Chill,3,64.95,5.0,67,100
Dunham,75,Windward,50,129.95,4.0,80,70
Dockers,100,Bryant,5,59.95,5.0,60,100
Johnston & Murphy,60,Crawford Venetian,5,168.95,4.0,60,100
Lacoste,0,Ansted 0320 1,0,70.15,0.0,0,0
Deer Stags,62,Drive Slip-On Loafer,43,34.99,4.0,74,79
Supply Lab,0,Gabriel-S,0,62.99,0.0,0,0
SAS,70,Side Gore,63,188.95,5.0,90,95
Twisted X,50,MDMS009,4,114.95,5.0,67,75
Twisted X,0,MDMS002,0,114.95,0.0,0,0
Sanuk,48,Vagabond,592,54.95,5.0,64,93
Allen Edmonds,0,Super Sport,0,244.95,0.0,0,0
Pikolinos,67,Berna M8J-3150,9,190.0,5.0,44,100
Dockers,73,Proposal Moc Toe Loafer,188,59.95,4.0,75,92
Pikolinos,70,Fuencarral 15A-6080,10,179.95,5.0,60,90
Mephisto,100,Valter,4,234.9,5.0,50,100
Florsheim,0,Ignight Plain Toe Slip-On,65,79.95,5.0,0,0
Florsheim,86,Great Lakes Canvas Moc Toe Slip-On,268,84.95,4.0,100,67
Nunn Bush,89,Cam Velcro,46,52.72,5.0,90,89
Naot,74,Director,39,199.95,4.0,82,87
SKECHERS,75,Diameter,598,55.99,4.0,90,94
Mephisto,100,Twain,5,238.9,4.0,60,100
Mephisto,100,Twain,5,238.9,4.0,60,100
COACH,100,Collapsible Heel Leather Driver,1,175.0,5.0,100,100
Born,100,Simon II,17,90.0,4.0,59,75
Chaco,0,Revel,0,69.95,0.0,0,0
Mephisto,71,Edlef,58,299.0,5.0,76,94
Mephisto,71,Edlef,58,298.9,5.0,76,94
,0,,0,0,0.0,0,0
SWIMS,100,Striped Venetian Loafer,2,160.0,5.0,50,100
Dansko,57,Wayne,48,139.95,5.0,82,81
Born,100,Blast III,3,95.0,4.0,100,100
Born,74,Andes,20,90.0,4.0,50,56
To Boot New York,0,East End,0,249.9,0.0,0,0
To Boot New York,0,Bali,0,295.0,0.0,0,0
Stacy Adams,100,Donovan,39,55.69,5.0,50,75
Nunn Bush,75,Quest Moc Toe Slip-On,9,59.95,4.0,100,75
Geox,0,Calgary,0,124.95,0.0,0,0
Deer Stags,90,Walkmaster Twin Gore Slip-On,10,54.99,4.0,70,100
Dunham,0,Clyde Slip-On,0,160.0,0.0,0,0
BOSS Hugo Boss,0,Midtown Loafer,0,267.99,0.0,0,0
SAS,70,Side Gore,63,188.95,5.0,90,95
Pikolinos,78,San Telmo M1D-6032,32,180.0,5.0,90,100
Clarks,0,Vargo Step,0,99.95,0.0,0,0
Born,71,Gudmund,7,100.0,3.0,57,57
