brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
Hush Puppies,62,Strategy,131,112.99,4.0,86,94
Shoes for Crews,0,Aristocrat II,0,74.93,0.0,0,0
Clarks,0,Hero Limit,1,57.95,5.0,0,0
Massimo Matteo,0,Perf Bal Cap Toe,0,165.0,0.0,0,0
Florsheim,0,Jetson Cap Toe Oxford,19,129.95,4.0,0,0
Josef Seibel,100,Oscar 05,5,160.0,3.0,60,100
Naot,66,Chief,40,200.0,4.0,75,85
Kenneth Cole Reaction,100,Settle Oxford,2,39.97,2.0,100,100
Dunham,55,Jericho Oxford,11,72.71,4.0,82,73
Samuel Hubbard,78,Founder,9,265.0,4.0,88,88
Clarks,59,Wallabee,169,150.0,5.0,70,93
Florsheim,75,Supacush Plain Toe Oxford,22,64.98,5.0,75,100
Allen Edmonds,55,McAllister,53,395.0,4.0,85,81
Alexander Noel,0,The New Yorker Wing Tip,0,235.0,0.0,0,0
Magnanni,0,Arlo,0,395.0,0.0,0,0
Florsheim,80,Uptown Cap Toe Oxford,58,114.95,5.0,60,80
Florsheim,0,Amelio Perf Cap Toe Oxford,1,114.95,5.0,0,0
Nunn Bush,83,Fifth Ave Plain Toe,9,69.95,4.0,100,67
J&M Collection,0,Cormac Double Monk,1,224.99,5.0,0,0
Ben Sherman,100,Birk Long Wing Tip,1,95.0,5.0,100,100
Ben Sherman,100,Birk Long Wing Tip,1,95.0,5.0,100,100
Massimo Matteo,0,Almansa Single Monk Strap,0,175.0,0.0,0,0
Johnston & Murphy,0,Maddox Cap Toe,0,179.0,0.0,0,0
Johnston & Murphy,0,Lewis Cap Toe,0,99.95,0.0,0,0
Bostonian,93,Dezmin Plain,32,89.99,5.0,90,100
ECCO,0,ST.1 Hybrid Dress Perforated,0,250.0,0.0,0,0
ECCO,0,ST.1 Hybrid Dress Perforated,0,250.0,0.0,0,0
Stacy Adams,0,Harrison Wing Tip Oxford,7,63.16,5.0,0,0
Rockport,80,Essential Details II Waterproof Wingtip,59,99.95,4.0,72,88
Bostonian,100,No16 Soft Lace,7,65.54,4.0,57,100
To Boot New York,0,Ivar,0,199.9,0.0,0,0
Steve Madden,0,Raffi Loafer,0,68.56,0.0,0,0
Clarks,0,Bradley Vibe,0,69.97,0.0,0,0
Stacy Adams,0,Platon Apron Toe Oxford,6,87.99,5.0,0,0
Johnston & Murphy,76,Tabor Dress Plain Toe Oxford,30,99.9,4.0,93,90
Bostonian,100,Hampshire Low,2,110.0,5.0,100,100
Bostonian,93,Dezmin Plain,32,67.95,5.0,90,100
Nunn Bush,0,Fuse Plain Toe Oxford,1,69.95,2.0,0,0
Florsheim,100,Midtown Wingtip Oxford,68,89.95,4.0,100,100
Florsheim,58,Noble Plain Toe Oxford,387,124.95,5.0,93,92
Bostonian,0,Lamont Plain,0,66.31,0.0,0,0
Rockport,0,Tanner Wing Tip,0,90.0,0.0,0,0
Florsheim,90,Postino Cap Toe Oxford,114,89.95,4.0,73,75
Johnston & Murphy,85,Waterproof XC4 Branning Cap Dress Cap Toe Oxford,31,168.95,4.0,81,90
Johnston & Murphy,100,Austin Cap Toe,1,135.99,5.0,100,100
Clarks,100,Grandin Plain,2,55.0,3.0,100,100
Merrell,0,World Legend 2,0,109.95,0.0,0,0
Josef Seibel,0,Jasper 53,0,134.99,0.0,0,0
Bostonian,0,Lamont Cap,1,64.95,5.0,0,0
Stacy Adams,100,Canton Bike Toe Lace Up Oxford,6,39.44,4.0,50,100
Florsheim,100,Sorrento Cap Toe Oxford,17,114.95,5.0,100,100
Massimo Matteo,0,Almansa Single Monk Strap,0,175.0,0.0,0,0
Deer Stags,100,Tone,1,35.79,4.0,100,100
Magnanni,100,Cotillas II,1,239.9,5.0,100,100
Stacy Adams,75,Desmond Cap-Toe Monk-Strap Loafer,64,104.95,4.0,88,93
Nunn Bush,83,Ridgetop Cap Toe Oxford,7,69.95,3.0,50,50
Bostonian,0,Luglite Cap,0,39.97,0.0,0,0
To Boot New York,0,Ivar,0,199.9,0.0,0,0
Clarks,0,Un Brawley Lace,0,160.0,0.0,0,0
Clarks,100,Bradley Walk,2,69.97,5.0,100,100
ECCO,90,Melbourne Tie,10,149.95,4.0,60,80
Johnston & Murphy,98,Tabor Dress Cap Toe Oxford,50,99.98,4.0,66,80
J&M Collection,100,Reece Wing Tip,1,194.99,5.0,100,100
Johnston & Murphy,85,Waterproof XC4 Branning Cap Dress Cap Toe Oxford,31,168.95,4.0,81,90
Nunn Bush,74,Bartole Street Bicycle Toe Oxford with KORE Slip Resistant Walking Comfort Technology,99,59.95,4.0,83,83
Kenneth Cole New York,100,Futurepod Lace-Up D,2,102.12,5.0,100,100
Clarks,0,Whiddon Vibe,0,89.97,0.0,0,0
Bostonian,100,Hampshire Low,2,45.95,5.0,100,100
Florsheim,83,Tux Plain Toe Oxford,32,114.95,5.0,73,67
Stacy Adams,100,Sullivan Wing Tip Oxford,17,59.97,5.0,100,100
Johnston & Murphy,88,Bradford Dress Moc Oxford,10,129.95,4.0,90,89
Stacy Adams,100,Emile,53,94.99,5.0,63,75
Rockport,0,Taylor Waterproof Plain Toe,0,99.95,0.0,0,0
Timberland,0,Franklin Park PT Brogue Oxford,0,110.0,0.0,0,0
Florsheim,0,Forecast Waterproof Bike Toe Slip-On,1,124.95,5.0,0,0
Florsheim,0,Sorrento Wing Tip Oxford,5,114.95,4.0,0,0
Clarks,0,Citistride Lace,0,130.0,0.0,0,0
Bostonian,86,Ipswich Apron,24,53.05,4.0,79,91
Bostonian,76,Wenham Cap,49,79.99,4.0,91,93
Bostonian,95,Nantasket Cap,22,52.94,4.0,68,95
