brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
ASICS,75,GEL-Nimbus® 22,568,99.95,4.0,81,84
ASICS,66,GEL-Kayano® 27,387,159.95,4.0,83,92
ASICS,75,GEL-Excite™ 7,141,57.77,4.0,95,94
ASICS,75,GEL-DS Trainer™ 25,45,93.33,4.0,75,100
Altra Footwear,71,Golden Spike,7,89.95,4.0,86,86
SKECHERS,100,Go Run Steady,14,52.84,5.0,86,100
SKECHERS,0,Max Cushioning Elite - Amplifier,82,59.98,5.0,0,0
Altra Footwear,100,Paradigm 5,3,149.95,5.0,100,100
adidas Running,0,Ultraboost 20 DNA,0,179.95,0.0,0,0
ASICS,75,GEL-Nimbus® 22,568,99.95,4.0,81,84
SKECHERS,87,Go Run Consistent,117,52.62,5.0,92,89
Hoka One One,100,Evo Mafate 2,41,169.95,4.0,100,100
Hoka One One,67,Elevon 2,74,159.95,4.0,100,100
Under Armour,80,Charged Pursuit 2,28,69.95,4.0,89,100
On,100,Cloud 70/30,2,129.95,5.0,100,100
New Balance,69,1540v3,447,174.99,4.0,81,93
Brooks,78,Glycerin 18,266,129.95,4.0,88,89
Brooks,84,Revel 4,98,99.95,4.0,88,96
Brooks,84,Revel 4,98,99.95,4.0,88,96
Brooks,0,Launch 8,0,99.95,0.0,0,0
Brooks,100,Divide,31,74.95,4.0,100,100
Brooks,85,Launch 7,134,74.95,4.0,80,85
Brooks,78,Glycerin 18,266,129.95,4.0,88,89
Brooks,90,PureFlow 7,229,89.95,4.0,83,83
Brooks,85,Launch 7,134,74.95,4.0,80,85
Brooks,72,Dyad 11,82,129.95,4.0,95,84
Brooks,100,Cascadia 15,33,129.95,4.0,80,60
Brooks,78,Glycerin 18,266,129.95,4.0,88,89
Brooks,100,Cascadia 15 GTX®,12,159.95,4.0,75,100
Brooks,77,Addiction 14,172,129.95,4.0,80,80
Brooks,85,Launch 7,134,74.95,4.0,80,85
Brooks,85,Ghost 13,265,129.95,4.0,80,86
Brooks,72,Dyad 11,82,129.95,4.0,95,84
Brooks,90,Ravenna 11,100,84.95,4.0,82,81
