brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
Birkenstock,58,Arizona Soft Footbed  - Suede (Unisex),0,135.0,0.0,80,83
Hoka One One,61,Ora Recovery Slide 2,433,49.95,4.0,72,89
OOFOS,61,OOahh Sport Flex,77,79.95,4.0,79,92
Under Armour,76,UA Ignite VI SL,19,27.99,4.0,79,95
Reef,60,Leather Ortho-Coast,41,64.95,4.0,50,63
Sanuk,60,Beer Cozy 2 TX,11,37.95,5.0,73,100
DC,59,Bolsa,24,19.95,4.0,70,81
TravisMathew,0,Moldre,0,34.95,0.0,0,0
Teva,67,Terra Fi 5 Universal Leather,34,109.95,4.0,100,100
Reef,91,Cushion Phantom,137,41.95,4.0,83,87
Nike,65,Benassi JDI Slide,900,24.95,5.0,81,88
The North Face,0,Hedgehog Sandal III,3,84.95,3.0,0,0
Pikolinos,79,Tarifa 06J-5433,91,164.95,4.0,87,97
Dunham,75,Nolan-Dun 2 Strap,66,114.95,5.0,97,100
Quiksilver,67,Current Water-Friendly Sandals,3,36.75,5.0,67,100
Billabong,100,All Day Leather,2,49.96,5.0,100,100
Havaianas,60,Urban Craft Flip Flops,5,27.02,4.0,80,100
Volcom,65,Recliner,54,35.95,4.0,87,88
OluKai,56,Hokua,183,74.95,5.0,86,97
Reef,58,Fanning,0,59.95,0.0,83,95
Reef,77,Twinpin,128,23.92,4.0,46,89
Teva,67,Original Universal,0,49.95,0.0,82,95
Teva,67,Original Universal,0,49.95,0.0,82,95
hari mari,77,Fields,24,59.95,4.0,70,91
Havaianas,52,Brazil Logo Flip Flops,48,26.0,5.0,77,95
OluKai,56,Ohana,848,69.95,5.0,80,95
Havaianas,100,Top Camo Sandal,1,24.0,5.0,100,100
ECCO Sport,50,Yucatan Sandal,391,135.0,5.0,90,93
SKECHERS,72,Relaxed Fit Pelem-Emiro,104,40.0,4.0,69,93
Havaianas,64,Brazil Mix Flip Flops,15,22.99,5.0,67,93
OluKai,56,Ohana,848,69.95,5.0,80,95
OluKai,56,Ohana,848,69.95,5.0,80,95
Sanuk,71,Beer Cozy Stacker,9,23.83,3.0,43,71
Rockport,70,Darwyn Slide,13,72.99,3.0,77,83
Champion,85,IPO,14,29.99,4.0,71,92
Quiksilver,100,Island Oasis,2,22.4,5.0,100,100
Cobian,67,Floater 2™,20,29.95,5.0,80,94
Vans,70,UltraCush® Sea Esta,11,47.95,4.0,45,78
DC,59,Bolsa,24,19.95,4.0,70,81
KEEN,54,Newport H2,0,110.0,0.0,73,90
Reef,58,Fanning,0,59.95,0.0,83,95
Teva,80,Langdon Sandal,101,84.95,4.0,81,98
Havaianas,100,Urban Special Flip-Flops,4,39.99,4.0,33,100
Chaco,52,Z/Cloud 2®,28,81.0,4.0,81,100
Reef,0,Fanning TX,3,64.95,4.0,0,0
Teva,88,Terra Fi 5 Universal,211,99.95,5.0,82,100
Reef,100,Beach Woven,12,34.95,4.0,100,100
Teva,87,Hurricane XLT2,442,69.95,4.0,74,99
Quiksilver,0,Carver Squish,0,35.95,0.0,0,0
Under Armour,75,Ansa Fix Slides,5,24.95,5.0,80,100
Vans,0,Makena,0,17.95,0.0,0,0
Reef,81,Fanning Low,163,59.95,5.0,64,86
Reef,71,One,24,26.88,4.0,86,80
Reef,88,Voyage LE,80,64.95,4.0,68,94
SKECHERS,72,Relaxed Fit Pelem-Emiro,104,35.99,4.0,69,93
Crocs,88,Swiftwater Expedition Sandal,39,31.67,4.0,78,100
O'Neill,63,Phluff Daddy '19,13,20.0,4.0,73,90
Quiksilver,58,Molokai Print,23,12.6,5.0,82,95
OluKai,60,Ulele,20,74.95,5.0,80,100
Dockers,86,Newpage Quarter Strap  Sandal,82,39.95,4.0,93,94
Hoka One One,67,Hopara,28,119.95,4.0,67,100
KEEN,50,Newport,957,120.0,5.0,70,92
Reef,83,Cushion Lux,48,64.95,4.0,83,83
Reef,80,Phantom LE,82,39.95,4.0,74,88
OOFOS,61,OOahh Sport Flex,77,79.95,4.0,79,92
Teva,87,Hurricane XLT2,442,69.95,4.0,74,99
Havaianas,64,Brazil Mix Flip Flops,15,20.67,5.0,67,93
Dunham,65,St. Johnsbury,114,114.95,4.0,87,85
KEEN,54,Newport H2,0,110.0,0.0,73,90
Propet,67,Vero,17,64.95,4.0,69,82
OluKai,56,Ohana,848,69.95,5.0,80,95
OluKai,56,Hokua,183,74.95,5.0,86,97
Rockport,79,Darwyn Fishermen,56,85.0,4.0,75,91
Dunham,75,Nolan-Dun 2 Strap,66,114.95,5.0,97,100
SKECHERS,70,Relaxed Fit 360 Supreme - Bosnia,334,40.0,4.0,86,90
Sanuk,68,Beer Cozy 2,99,35.95,5.0,75,94
Reef,0,Anchor,6,44.99,4.0,0,0
Cobian,67,Floater 2™,20,29.95,5.0,80,94
OluKai,56,Hokua,183,74.95,5.0,86,97
ECCO Sport,50,Yucatan Sandal,391,134.95,5.0,90,93
KEEN,54,Newport H2,0,110.0,0.0,73,90
Vans,70,La Costa Lite,30,35.95,5.0,83,100
Crocs,100,Classic Out of World This World Slide,9,27.99,4.0,50,100
OOFOS,55,OOriginal Sport Sandal,170,59.95,4.0,77,92
Propet,91,Kona,38,59.95,5.0,92,94
OluKai,56,Ohana,848,69.95,5.0,80,95
Havaianas,100,Urban Material Sandal,3,32.59,3.0,67,100
Champion,0,"IPO ""It"" Print",0,35.0,0.0,0,0
Dr. Martens,83,Myles HDW,6,98.87,4.0,67,83
Reef,67,Phantom II,8,26.11,4.0,100,33
Havaianas,75,Brazil Flip Flops,119,24.0,4.0,75,94
Reef,76,Rover,228,44.95,4.0,75,88
Havaianas,0,Top Magic Mickey Sandal,0,19.07,0.0,0,0
Reef,67,Phantom II,8,34.95,4.0,100,33
Reef,76,Rover,228,44.95,4.0,75,88
Sanuk,83,Burm,13,23.0,4.0,100,92
VIONIC,72,Wave,363,64.95,4.0,71,75
Crocs,72,Swiftwater Wave Flip,64,29.95,4.0,90,89
Crocs,72,Swiftwater Wave Flip,64,23.96,4.0,90,89
Champion,80,IPO Repeat,11,34.99,5.0,82,91
FootJoy,86,Spikeless Slide,77,39.95,5.0,100,100
OOFOS,55,OOriginal Sport Sandal,170,59.95,4.0,77,92
Under Armour,50,UA Atlantic Dune T,4,20.28,4.0,75,100
Reef,66,Draftsmen,248,59.95,4.0,87,95
Quiksilver,59,Molokai Layback,26,17.5,4.0,88,100
Champion,85,IPO,14,29.99,4.0,71,92
OOFOS,61,OOahh Sport Flex,77,79.95,4.0,79,92
Spenco,59,Kholo Plus,18,59.95,4.0,65,82
Hoka One One,62,Ora Recovery Flip,276,50.0,4.0,81,85
Cobian,88,ARV 2 Slide,9,39.95,5.0,100,100
Teva,86,Forebay,167,64.95,4.0,74,98
KEEN,54,Newport H2,0,110.0,0.0,73,90
KEEN,77,Clearwater CNX,113,110.0,4.0,57,76
Vans,0,Makena,0,16.95,0.0,0,0
OluKai,58,Nalu Slide,48,79.95,5.0,90,98
Reef,58,Fanning,0,59.95,0.0,83,95
Havaianas,0,Top Zigzag Sandal,0,20.99,0.0,0,0
Reef,100,Leather Phantom II,5,39.95,5.0,100,100
Reef,100,Cushion Phantom SE,113,44.95,4.0,100,100
Reef,60,Leather Ortho-Coast,41,64.95,4.0,50,63
Mizuno,0,Relax Slide 2,0,29.99,0.0,0,0
Sanuk,58,Fraid Not,142,42.95,4.0,72,91
SKECHERS,50,Go Hyper Slide,19,54.99,5.0,50,75
KEEN,100,Targhee III Open Toe Sandal,3,110.0,4.0,100,100
Teva,75,Omnium 2 Leather,60,99.95,4.0,69,83
Teva,87,Hurricane XLT2,442,69.95,4.0,74,99
Drew,65,Warren,26,149.95,4.0,77,92
Merrell,100,Moab Drift 2 Strap,4,89.95,4.0,100,100
Teva,67,Original Universal,0,49.95,0.0,82,95
Volcom,65,Recliner,54,35.95,4.0,87,88
Havaianas,70,Top Flip Flops,164,18.0,4.0,73,92
hari mari,77,Fields,24,59.95,4.0,70,91
Cobian,82,ARV2,48,37.95,4.0,54,87
Reef,72,Contoured Cushion,82,39.95,4.0,63,87
Havaianas,70,Top Flip Flops,164,18.0,4.0,73,92
Havaianas,75,Brazil Flip Flops,119,24.0,4.0,75,94
Rockport,70,Darwyn Quarter Strap,23,55.99,4.0,87,70
Quiksilver,81,Carver Suede,27,27.95,4.0,70,89
Billabong,100,Dunes Impact,1,26.47,5.0,100,100
Havaianas,52,Brazil Logo Flip Flops,48,26.0,5.0,77,95
Sanuk,60,Beer Cozy 2 TX,11,31.01,5.0,73,100
Volcom,65,Recliner,54,35.95,4.0,87,88
Reef,58,Fanning Leather,511,64.95,5.0,85,96
Propet,83,Joseph,12,74.95,4.0,83,83
Propet,47,Jace,16,64.95,4.0,56,60
Havaianas,52,Brazil Logo Flip Flops,48,26.0,5.0,77,95
Dunham,75,Newport Slide Water Friendly,5,99.95,4.0,50,75
OOFOS,0,OOriginal Sport,0,59.95,0.0,0,0
Cobian,89,Draino 2,22,34.95,4.0,55,95
Columbia,56,Molokai III,9,59.95,4.0,89,100
OluKai,55,Kipi,34,74.95,5.0,76,100
Rockport,33,Trail Technique Adjustable Sandal,3,59.95,5.0,67,100
Under Armour,100,UA Ignite III T,3,35.0,4.0,67,67
Vans,70,UltraCush® Sea Esta,11,33.6,4.0,45,78
Billabong,58,All Day Impact Sandal,20,25.95,5.0,70,100
O'Neill,63,Phluff Daddy '19,13,20.0,4.0,73,90
Quiksilver,80,Bright Coast Adjustable Slides,5,25.95,4.0,60,100
Quiksilver,59,Molokai Layback,26,17.5,4.0,88,100
Teva,74,Original Universal - Urban,0,49.95,0.0,89,100
OluKai,74,Nui,109,84.95,4.0,37,85
OluKai,71,Nalukai Sandal,36,109.95,5.0,65,76
OluKai,71,Nalukai Sandal,36,109.95,5.0,65,76
Teva,85,Hurricane 4,44,65.0,4.0,76,98
Billabong,58,All Day Impact Sandal,20,25.95,5.0,70,100
Sanuk,49,Fraid So,90,42.08,5.0,69,95
,0,,0,0.0,0.0,0,0
Mephisto,53,Shark,69,294.9,5.0,67,85
OOFOS,55,OOriginal Sport Sandal,170,59.95,4.0,77,92
Propet,86,SurfWalker II,14,68.95,4.0,79,100
Sanuk,58,Fraid Not,142,42.95,4.0,72,91
Havaianas,0,Mario Sandal,1,21.68,5.0,0,0
OOFOS,55,OOriginal Sport Sandal,170,59.95,4.0,77,92
Dockers,93,Searose Fisherman Sandal,16,39.95,4.0,75,100
KEEN,89,Targhee III Sandal,9,119.95,4.0,100,89
KEEN,100,Solr Sandal,7,71.52,3.0,71,100
Havaianas,75,Top Mix Flip Flops,24,24.0,4.0,91,95
Sanuk,68,Beer Cozy 2,99,35.95,5.0,75,94
Merrell,100,Moab Drift 2 Flip,1,69.95,5.0,100,100
Havaianas,70,Top Flip Flops,164,17.99,4.0,73,92
Chaco,55,Z/Cloud,77,100.0,5.0,82,93
Cobian,82,ARV2,48,37.95,4.0,54,87
Mephisto,60,Zonder,22,179.9,5.0,85,70
Havaianas,75,Brazil Flip Flops,119,24.0,4.0,75,94
OluKai,56,Ohana,848,69.95,5.0,80,95
Teva,50,Strata Universal,51,119.95,4.0,90,100
KEEN,82,Newport Retro,62,110.0,4.0,61,84
Naot,69,Mikael,29,159.95,5.0,93,93
KEEN,77,Clearwater CNX,113,109.95,4.0,57,76
SKECHERS,50,Ridgewell - Sandgo,8,38.79,4.0,100,50
SKECHERS,67,Sargo - Sunview,77,34.99,5.0,89,88
Reef,61,Ortho-Coast,58,59.95,4.0,73,91
Havaianas,80,Hype Flip Flops,8,19.2,4.0,86,100
Havaianas,80,Hype Flip Flops,8,26.0,4.0,86,100
Quiksilver,59,Molokai Layback,26,17.5,4.0,88,100
Billabong,53,All Day Solid Sandal,16,19.95,5.0,88,100
Havaianas,100,Top Camo Sandal,1,21.72,5.0,100,100
Reef,91,Cushion Phantom,137,44.95,4.0,83,87
OluKai,60,Ulele,20,74.95,5.0,80,100
Chaco,71,Lowdown Sandal,7,58.92,4.0,43,71
OluKai,56,Hokua,183,74.95,5.0,86,97
Hoka One One,67,Hopara,28,119.95,4.0,67,100
OluKai,61,Hokua Mesh,18,74.95,5.0,82,94
Dr. Scholl's,65,Gaston,20,39.67,4.0,79,90
OluKai,50,Mea Ola,188,119.95,4.0,60,95
Havaianas,0,Top Logomania Sandal,0,24.0,0.0,0,0
Quiksilver,50,Haleiwa II,2,22.25,3.0,50,50
Dunham,75,Newport Slide,12,99.95,4.0,91,83
SKECHERS,60,Tresmen - Hirano,64,40.41,5.0,100,100
Havaianas,52,Brazil Logo Flip Flops,48,26.0,5.0,77,95
Sanuk,68,Beer Cozy 2,99,30.0,5.0,75,94
Sanuk,78,Beer Cozy Light,24,30.38,5.0,79,92
Reef,91,Cushion Phantom,137,41.95,4.0,83,87
Reef,76,Rover,228,44.95,4.0,75,88
Sanuk,0,Fraid Not,0,42.95,0.0,0,0
Quiksilver,58,Molokai Print,23,17.95,5.0,82,95
Cobian,0,Draino Flop,0,21.94,0.0,0,0
Reef,100,Switchfoot,3,22.0,4.0,67,100
Freewaters,100,Treeline Sport,1,64.95,3.0,100,100
Freewaters,80,Open Country,11,64.95,5.0,100,100
Crocs,88,Swiftwater Expedition Sandal,39,35.78,4.0,78,100
Sanuk,100,Beer Cozy 3 Primo,4,54.95,4.0,67,100
OluKai,61,Hokua Mesh,18,74.95,5.0,82,94
Nunn Bush,86,Rio Grande Fisherman Closed Toe Sandal,61,39.95,4.0,90,86
Billabong,78,Offshore Impact,10,29.95,5.0,100,100
Quiksilver,58,Molokai Print,23,17.95,5.0,82,95
Quiksilver,57,Monkey Wrench,16,27.95,4.0,80,93
Quiksilver,57,Monkey Wrench,16,27.95,4.0,80,93
Havaianas,0,Mario Bros Flip-Flops,0,26.0,0.0,0,0
Quiksilver,100,Caged Oasis Slide,1,38.84,5.0,100,100
Quiksilver,50,Haleiwa II,2,21.7,3.0,50,50
Nunn Bush,86,Rio Bravo 3-Strap River Sandal,31,39.95,5.0,93,93
OluKai,50,Mea Ola,188,119.95,4.0,60,95
Havaianas,100,Urban Basic II Sandal,1,25.99,4.0,100,100
Native Shoes,100,Davis,2,54.95,5.0,100,50
Sanuk,100,Tripper H2O Yeah,1,35.34,4.0,100,100
Nunn Bush,86,Rio Bravo 3-Strap River Sandal,31,39.95,5.0,93,93
OluKai,60,Ulele,20,74.95,5.0,80,100
Teva,85,Hurricane 4,44,64.95,4.0,76,98
Quiksilver,67,Carver Print,6,18.2,3.0,50,83
Teva,78,Voya Flip,119,34.95,4.0,85,95
Sanuk,100,Drop EMS Prints,1,19.69,3.0,100,100
Clarks,100,Ellison Easy,1,70.0,2.0,100,100
Sanuk,68,Beer Cozy 2,99,27.7,5.0,75,94
Havaianas,50,Top Sandal,6,18.0,5.0,100,100
Havaianas,50,Top Sandal,6,18.0,5.0,100,100
Reef,100,Cushion Phantom SE,113,44.95,4.0,100,100
Quiksilver,86,Carver Nubuck,18,23.8,4.0,94,100
Crocs,73,Classic Tie-Dye Mania Slide,128,29.99,4.0,100,73
Propet,86,SurfWalker II,14,68.95,4.0,79,100
Teva,100,Universal Trail,33,99.95,4.0,100,100
Teva,100,Tanway,3,79.95,5.0,100,100
Reef,54,Reef Leather Smoothy,385,54.95,4.0,67,89
Propet,100,Jack,2,74.95,4.0,100,50
Havaianas,75,Top Mix Flip Flops,24,24.0,4.0,91,95
KEEN,100,Solr Sandal,7,109.95,3.0,71,100
Ellesse,0,Filippo,0,40.0,0.0,0,0
Ellesse,0,Filippo,0,35.0,0.0,0,0
Ellesse,0,Filippo,0,45.0,0.0,0,0
Reef,89,Switchfoot LX,40,26.0,4.0,50,60
Nunn Bush,100,Rio Grande Three Strap River Sandal,33,39.95,4.0,43,57
KEEN,89,Targhee III Sandal,9,119.95,4.0,100,89
hari mari,77,Fields,24,59.95,4.0,70,91
Flojos,67,Xander 2.0,3,28.88,2.0,100,100
Mephisto,81,Zach,16,188.9,5.0,80,100
SAS,67,Bravo,43,168.95,5.0,100,100
Reef,71,One,24,31.95,4.0,86,80
Havaianas,70,Top Flip Flops,164,18.0,4.0,73,92
Havaianas,100,Top Camo Sandal,1,24.0,5.0,100,100
Sanuk,60,Beer Cozy 2 TX,11,28.0,5.0,73,100
Havaianas,52,Brazil Logo Flip Flops,48,26.0,5.0,77,95
OluKai,56,Hokua,183,74.95,5.0,86,97
Volcom,65,Recliner,54,35.95,4.0,87,88
Pikolinos,89,Tarifa 06J-0015,22,145.0,4.0,67,95
Spenco,83,Yumi Plus,6,59.95,5.0,100,100
KEEN,70,Newport H2 Hydro,57,110.0,4.0,57,87
Cobian,89,Draino 2,22,34.95,4.0,55,95
SKECHERS,72,Relaxed Fit Pelem-Emiro,104,40.0,4.0,69,93
Reef,66,Draftsmen,248,48.0,4.0,87,95
,0,,0,0.0,0.0,0,0
Havaianas,70,Top Flip Flops,164,18.0,4.0,73,92
Dunham,100,Nolan Water Friendly,8,114.95,5.0,100,100
Dunham,75,Newport Slide Water Friendly,5,99.95,4.0,50,75
SKECHERS,67,Sargo - Sunview,77,38.94,5.0,89,88
Speedo,67,Deck Slide,3,25.0,3.0,33,67
Reef,71,One,24,25.66,4.0,86,80
RVCA,0,Trenchtown Sandals III,0,19.0,0.0,0,0
Rockport,33,Trail Technique Adjustable Sandal,3,59.95,5.0,67,100
Crocs,72,Swiftwater Wave Flip,64,29.99,4.0,90,89
Hype Co,0,Army Black Knights Slydr,0,39.99,0.0,0,0
Quiksilver,0,Massage 2,0,29.95,0.0,0,0
Billabong,78,Offshore Impact,10,29.95,5.0,100,100
SKECHERS,80,Sargo - Reyon,73,34.99,4.0,67,100
OluKai,74,Nui,109,84.95,4.0,37,85
Quiksilver,58,Molokai Print,23,17.95,5.0,82,95
Quiksilver,0,Haleiwa Plus Nubuck,0,31.31,0.0,0,0
Nunn Bush,75,Rio Vista 3-Strap River Sandal,19,41.56,4.0,100,100
Florsheim,100,Great Lakes Fisherman Sandal,37,104.95,4.0,100,80
Sanuk,0,Tripper H2O Yeah Lx,0,36.53,0.0,0,0
Quiksilver,58,Molokai Print,23,17.95,5.0,82,95
ECCO Sport,50,Yucatan Sandal,391,135.0,5.0,90,93
Mark Nason,0,Hyper Sandal - Degree,4,52.5,5.0,0,0
Dunham,70,Fitsmart Fisherman,23,99.95,4.0,78,78
Cobian,67,Las Olas 2,4,31.95,5.0,100,100
OluKai,56,Ohana,848,69.95,5.0,80,95
OluKai,74,Nui,109,84.95,4.0,37,85
OluKai,63,Hiapo,327,119.95,5.0,57,96
Chaco,71,Lowdown Slide,9,79.95,3.0,78,75
Reef,58,Fanning,0,59.95,0.0,83,95
Sanuk,83,Burm,13,29.95,4.0,100,92
Dockers,93,Searose Fisherman Sandal,16,39.95,4.0,75,100
Havaianas,50,Top Sandal,6,18.0,5.0,100,100
New Balance,72,200,74,25.51,4.0,90,88
Crocs,73,Classic Tie-Dye Mania Slide,128,29.99,4.0,100,73
Teva,88,Terra Fi 5 Universal,211,99.95,5.0,82,100
Nunn Bush,86,Rio Grande Fisherman Closed Toe Sandal,61,39.95,4.0,90,86
Oka-B,53,Maxwell,19,30.0,4.0,63,63
Chaco,51,Z/2® Classic,39,95.0,4.0,78,100
Sanuk,71,Beer Cozy Stacker,9,24.95,3.0,43,71
Quiksilver,67,Current Water-Friendly Sandals,3,28.07,5.0,67,100
Quiksilver,100,Island Oasis,2,22.4,5.0,100,100
Reef,100,Stash Slide,28,34.95,4.0,100,100
Reef,61,Ortho-Coast,58,59.95,4.0,73,91
hari mari,93,Scouts,17,64.95,4.0,71,100
Nunn Bush,86,Rio Bravo 3-Strap River Sandal,31,39.95,5.0,93,93
