brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
Superga,59,2750 COTU Classic Sneaker,0,64.95,0.0,59,72
BOSS Hugo Boss,0,Rapid Low Top Sneaker by BOSS,0,199.99,0.0,0,0
Camper,67,Beetle-36678,10,215.0,5.0,60,90
SWIMS,0,Breeze Wave Athletic,0,110.99,0.0,0,0
Gola,100,Tennis Mark Cox Suede,1,58.24,5.0,100,100
VIONIC,50,Tanner Nubuck,2,149.95,4.0,100,100
Magnanni,0,Nesto,0,200.99,0.0,0,0
ALDO,0,Tacitus,0,80.0,0.0,0,0
ASICS Tiger,79,Tiger Runner,37,64.95,4.0,83,60
Sanuk,0,Sideline Linen 2,0,54.95,0.0,0,0
Vans,85,ComfyCush Era,41,45.5,4.0,65,72
Ben Sherman,100,Eddie Script Lace,1,52.99,4.0,100,100
,0,,0,0,0.0,0,0
Fred Perry,0,Spencer Leather,0,115.0,0.0,0,0
Trask,100,Rigby,1,294.95,3.0,100,100
,0,,0,0,0.0,0,0
Lacoste,0,UT-LT Libre 0320 1,0,145.0,0.0,0,0
COACH,100,Tennis Cup Sole,2,150.0,5.0,100,100
COACH,100,Tennis Cup Sole,2,150.0,5.0,100,100
,0,,0,0,0.0,0,0
Geox,0,Warley 12,0,140.0,0.0,0,0
Alexander Noel,0,Kickabout Wing Tip Sneaker High-Top,0,235.0,0.0,0,0
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
BILLY Footwear,67,Comfort Leather Lo,3,80.36,5.0,100,100
BILLY Footwear,0,Comfort Classic Lo,0,72.12,0.0,0,0
ALDO,100,Reid,1,59.99,2.0,100,100
Mephisto,0,Amory,0,209.99,0.0,0,0
Mephisto,0,Valerian,0,248.9,0.0,0,0
Mephisto,0,Calisto,0,224.99,0.0,0,0
Mephisto,0,Calisto,0,149.99,0.0,0,0
Mephisto,50,Cristiano,4,199.99,3.0,50,75
SeaVees,55,05/65 Westwood Tennis Shoe,27,54.56,4.0,81,84
hari mari,0,Dos Santos LX Retro Runner,0,119.95,0.0,0,0
Mephisto,0,Trevor,0,209.99,0.0,0,0
,0,,0,0,0.0,0,0
Johnston & Murphy,0,McGuffey Slip-On Knit Sneaker,1,129.0,4.0,0,0
PUMA,100,Trinomic XS-850,1,87.99,5.0,100,100
OluKai,100,Kihi,1,119.95,5.0,100,100
,0,,0,0,0.0,0,0
Carrucci,67,McQueen,3,80.99,5.0,100,100
Fred Perry,0,Deuce Poly/Suede/Leather,0,105.0,0.0,0,0
Supply Lab,71,Damian,7,110.0,4.0,86,100
Cole Haan,62,Grandpro Rally Laser Cut Sneaker,15,119.99,5.0,86,85
Lacoste,75,Chaymon BL 1,5,114.95,4.0,100,100
Pro-Keds,71,Pro-Keds Royal Hi Classic Canvas,9,64.95,5.0,89,71
Pro-Keds,67,Pro-Keds Royal Plus Suede,12,75.99,5.0,73,100
SAS,76,Journey,102,196.95,5.0,85,89
Clarks,100,Un Costa Band,2,129.95,4.0,100,100
Donald Pliner,0,Andi,0,155.41,0.0,0,0
Donald Pliner,0,Andi,0,155.63,0.0,0,0
PUMA,0,Future Rider Neon Play,0,53.58,0.0,0,0
Mephisto,50,Cristiano,4,248.9,3.0,50,75
Stacy Adams,100,Hawkins Cap Toe Sneaker,35,66.08,5.0,100,100
Clarks,89,Un Costa Lace,30,80.01,5.0,75,100
